Timestamp,Merchant Name,Device ,Wi-Fi Name (SSID),Static IP for Device,Anydesk ID,Printer IP,Windows Setup Checklist ,Sunmi Device Setup Checklist,Device Serial Number,Settings Checklist
1/14/2026 16:52:06,Machi Mee,Lenovo Tablet ,machimee@unifi,192.168.1.220,1111858461,"Bar (192.168.0.201)
Kitchen 1 (192.168.0.202)
Kitchen 2 (192.168.0.203)",,,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/15/2026 15:55:59,Cha Bang Ang,Sunmi Device,Sim Card,Sim Card,383742319,"Cashier (Bluetooth)
Label (USB)",,Enable Remote Assistance,VC19253U20012,"Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/19/2026 17:08:51,AYAM GEPUK TOK MAT (KOTA WARISAN),Sunmi Device,attmkw,192.168.0.210,1862780529,"Cashier Printer (USB)
Bar Printer (192.168.0.212)
Kitchen Printer (192.168.0.213)",,Enable Remote Assistance,DP02256GJ0457,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/20/2026 14:25:12,Ayam Gepuk Tok Mat （TTDI）,Sunmi Device,AGTM2.4,192.168.0.210,1485819011,"Cashier Printer - USB
BAR PRINTER - 192.168.0.216
KITCHEN PRINTER - 192.168.0.212",,Enable Remote Assistance,DP02256GJ0388,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/21/2026 18:32:47,Jiu Ding Ji 玖鼎记 (Ara Damansara),Sunmi Device,JDJ,192.168.1.192,1027603378,"Bar (192.168.1.203), Kitchen (192.168.1.208), Dimsum (192.168.1.202), Dessert (192.168.1.201), Checklist (USB), Cashier (192.168.1.211)",,Enable Remote Assistance,DP02256GJ0486,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/24/2026 10:27:34,Gulai & Kopi (Subang Jaya),Sunmi Device,Gulai & Kopi,192.168.0.200,931301527,"Cashier Printer - USB
Kitchen Printer - 192.168.0.212
Bar Printer - 192.168.0.213",,Enable Remote Assistance,DP02256GJ0535,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/27/2026 11:39:12,Born Neo*,Sunmi Device,-,-,"1269612916, 1990211430, 1764129840","Cashier (Bluetooth)
Kitchen (USB)",,Enable Remote Assistance,"VC19253W20096, VC19253T20050, VC19253W20127","Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Enable QR Order / Delivery Platform, Close Counter (Report)"
1/29/2026 15:23:04,Keria Satu Enterprise,Sunmi Device,-,-,562808266,Cashier (Bluetooth),,Enable Remote Assistance,VA5825B341337,"Printer Connection, Configure Custom Item, Configure Pax, Enable QR Order / Delivery Platform"
1/29/2026 16:17:23,Haz,Sunmi Device,-,-,1648871245,"Cashier (USB)
Label (USB)",,Enable Remote Assistance,DP02256GJ0184,"Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
2/3/2026 15:52:59,Tlaaks ,Sunmi Device,-,-,1015508308,"Cashier (Bluetooth)
Label (USB)",,Enable Remote Assistance,VC19254720064,"Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Enable QR Order / Delivery Platform, Close Counter (Report)"
2/5/2026 10:28:13,Steak House,Sunmi Device,Pending ,192.168.0.210 ,285687394,"Cashier (USB)
Kitchen (192.168.0.212)",,Enable Remote Assistance,DP02256GJ0259,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
2/7/2026 11:07:01,RESTAURANT TEAHAUS SDN. BHD. Puchong,Sunmi Device,Ethernet,192.168.0.210,245139737,"Cashier & Checklist (USB)
Kitchen (192.168.0.215)
Bar (192.168.0.216)",,Enable Remote Assistance,DP02256GJ0096,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Customer Display, Enable QR Order / Delivery Platform, Close Counter (Report)"
2/14/2026 11:19:54,Yum Momos,"iPad, Cashier Printer (Gilong GL-R80A), Kitchen Printer (CN811-UWB)",Yummomos,192.168.100.210,1083648017,"Cashier (192.168.100.36)
Kitchen 1 (192.168.100.38)
Kitchen 2 (192.168.100.28)
Kitchen 3 (192.168.100.40)
Kitchen 4 (192.168.100.128)",,,,"Socket Server IP, Printer Connection, Configure Payment Method, Configure Custom Item, Configure Pax, Enable QR Order / Delivery Platform, Close Counter (Report)"
